83.957451,	71.029320,	7.517500
83.904335,	71.541794,	7.526250
83.830101,	72.051628,	7.535000
83.734871,	72.557953,	7.543750
83.618813,	73.059921,	7.552500
83.482117,	73.556671,	7.561250
83.325027,	74.047348,	7.570000
83.147812,	74.531128,	7.578750
82.950752,	75.007164,	7.587500
82.734215,	75.474655,	7.596250
82.494598,	75.955086,	7.608750
82.270988,	76.402298,	7.621250
82.047379,	76.849510,	7.633750
81.823776,	77.296722,	7.646250
81.594742,	77.754364,	7.658750
81.357788,	78.210724,	7.668604
81.085258,	78.687988,	7.676662
80.805504,	79.122398,	7.683115
80.502449,	79.541222,	7.689150
80.177139,	79.942993,	7.694766
79.830513,	80.326523,	7.699963
79.463600,	80.690704,	7.704742
79.077477,	81.034447,	7.709102
78.673279,	81.356743,	7.713043
78.252205,	81.656647,	7.716566
77.815475,	81.933273,	7.719670
77.368996,	82.183449,	7.722356
76.898323,	82.417404,	7.724960
76.407585,	82.640564,	7.727471
75.954338,	82.830124,	7.728621
75.467964,	83.004059,	7.729353
74.972878,	83.151413,	7.729667
74.470543,	83.271744,	7.729562
73.962440,	83.364723,	7.729038
73.450050,	83.430061,	7.728095
72.934868,	83.467567,	7.726734
72.418411,	83.477135,	7.724955
71.902191,	83.458740,	7.722756
71.387726,	83.412415,	7.720155
70.876526,	83.338333,	7.717342
70.370079,	83.236679,	7.714375
69.869888,	83.107765,	7.711254
69.377396,	82.951965,	7.707977
68.894066,	82.769745,	7.704546
68.441650,	82.571587,	7.700961
67.956146,	82.330986,	7.696582
67.482735,	82.067383,	7.691993
67.022514,	81.781372,	7.687194
66.576538,	81.473625,	7.682184
66.145828,	81.144836,	7.676964
65.731384,	80.795776,	7.671534
65.334160,	80.427246,	7.665893
64.955070,	80.040085,	7.660041
64.594978,	79.635185,	7.653979
64.254723,	79.213486,	7.647707
63.935081,	78.775955,	7.641224
63.636791,	78.323593,	7.634531
63.360531,	77.857460,	7.627627
63.101551,	77.386185,	7.617400
62.861149,	76.947769,	7.606764
62.620754,	76.509354,	7.596027
62.380352,	76.070938,	7.585291
62.139957,	75.632523,	7.574554
61.896488,	75.186256,	7.564891
61.676250,	74.744850,	7.558449
61.477596,	74.293327,	7.552007
61.300995,	73.832741,	7.545564
61.146851,	73.364151,	7.539122
61.015530,	72.888657,	7.532680
60.907341,	72.407372,	7.526238
60.822521,	71.921432,	7.519796
60.761280,	71.431961,	7.513354
60.723766,	70.940102,	7.506912
60.709999,	70.409996,	7.500000
60.709999,	69.909996,	7.489263
60.709999,	69.409996,	7.478526
60.709999,	68.909996,	7.467790
60.709999,	68.409996,	7.457053
60.709999,	67.909996,	7.446316
60.709999,	67.409996,	7.435579
60.709999,	66.909996,	7.424842
60.709999,	66.409996,	7.414105
60.709999,	65.909996,	7.403368
60.709991,	65.410294,	7.392632
60.709808,	64.913147,	7.381895
60.709095,	64.419014,	7.371158
60.707466,	63.927898,	7.360421
60.704224,	63.391167,	7.348610
60.698982,	62.858101,	7.336800
60.691299,	62.328716,	7.324989
60.680733,	61.803036,	7.313179
60.666836,	61.281086,	7.301368
60.649197,	60.762901,	7.289558
60.627388,	60.248531,	7.277747
60.601021,	59.738029,	7.265937
60.569664,	59.230648,	7.254126
60.533009,	58.723820,	7.242316
60.491055,	58.217407,	7.230505
60.443806,	57.711460,	7.218695
60.391270,	57.206032,	7.206884
60.333443,	56.701183,	7.195074
60.270340,	56.196968,	7.183263
60.201965,	55.693439,	7.171453
60.128326,	55.190655,	7.159642
60.049431,	54.688667,	7.147831
59.965290,	54.187531,	7.136021
59.875912,	53.687302,	7.124210
59.781300,	53.188038,	7.112400
59.681473,	52.689793,	7.100589
59.576443,	52.192616,	7.088778
59.466213,	51.696568,	7.076968
59.350800,	51.201694,	7.065157
59.230217,	50.708057,	7.053347
59.104477,	50.215714,	7.041536
58.973591,	49.724709,	7.029726
58.837574,	49.235100,	7.017915
58.696445,	48.746944,	7.006105
58.550220,	48.260288,	6.994294
58.398903,	47.775188,	6.982484
58.242527,	47.291698,	6.970673
58.081097,	46.809872,	6.958863
57.914639,	46.329765,	6.947052
57.743164,	45.851421,	6.935242
57.566692,	45.374893,	6.923431
57.385246,	44.900242,	6.911621
57.198849,	44.427513,	6.899810
57.007511,	43.956764,	6.888000
56.811260,	43.488041,	6.876189
56.610119,	43.021397,	6.864378
56.404045,	42.556744,	6.852568
56.192139,	42.091736,	6.840757
55.974377,	41.625408,	6.828947
55.751144,	41.157623,	6.817136
55.522827,	40.688236,	6.805326
55.289825,	40.217075,	6.793515
55.052536,	39.743977,	6.781705
54.811359,	39.268745,	6.769894
54.566708,	38.791191,	6.758084
54.341633,	38.354855,	6.747347
54.114346,	37.916267,	6.736610
53.885181,	37.475254,	6.725873
53.654793,	37.032345,	6.715137
53.425285,	36.591553,	6.704400
53.196667,	36.153698,	6.693663
52.968628,	35.718945,	6.682926
52.718067,	35.244503,	6.671115
52.467415,	34.774250,	6.659305
52.216274,	34.308395,	6.647494
51.964260,	33.847176,	6.635684
51.710991,	33.390812,	6.623873
51.456120,	32.939529,	6.612062
51.199291,	32.493568,	6.600252
50.940178,	32.053162,	6.588441
50.677998,	31.617714,	6.576631
50.411343,	31.185148,	6.564820
50.140182,	30.755394,	6.553010
49.864540,	30.328503,	6.541199
49.584446,	29.904516,	6.529389
49.299931,	29.483486,	6.517578
49.011028,	29.065454,	6.505768
48.717766,	28.650467,	6.493957
48.420177,	28.238573,	6.482147
48.118301,	27.829813,	6.470336
47.812160,	27.424234,	6.458526
47.501793,	27.021877,	6.446715
47.187237,	26.622793,	6.434905
46.868519,	26.227020,	6.423094
46.545681,	25.834604,	6.411283
46.218754,	25.445587,	6.399473
45.887775,	25.060013,	6.387662
45.552780,	24.677919,	6.375852
45.213806,	24.299351,	6.364041
44.870892,	23.924351,	6.352231
44.524067,	23.552958,	6.340420
44.173382,	23.185217,	6.328610
43.818871,	22.821163,	6.316799
43.460567,	22.460838,	6.304989
43.098511,	22.104279,	6.293178
42.732746,	21.751528,	6.281368
42.363312,	21.402626,	6.269557
41.990250,	21.057604,	6.257747
41.613594,	20.716507,	6.245936
41.233391,	20.379370,	6.234126
40.849686,	20.046225,	6.222315
40.462513,	19.717115,	6.210505
40.071915,	19.392073,	6.198694
39.677944,	19.071133,	6.186883
39.280472,	18.754200,	6.175073
38.877560,	18.439545,	6.163262
38.468861,	18.126400,	6.151452
38.054649,	17.814474,	6.139641
37.635208,	17.503450,	6.127831
37.210808,	17.193005,	6.116020
36.781719,	16.882793,	6.104209
36.348217,	16.572468,	6.092399
35.910572,	16.261660,	6.080588
35.509354,	15.978372,	6.069852
35.105145,	15.694084,	6.059115
34.698162,	15.408501,	6.048378
34.289001,	15.121606,	6.037641
33.879608,	14.834554,	6.026904
33.470219,	14.547501,	6.016167
33.060829,	14.260448,	6.005431
32.648788,	13.971537,	5.994632
32.239403,	13.684484,	5.983895
31.830011,	13.397431,	5.973158
31.420618,	13.110378,	5.962421
31.011229,	12.823325,	5.951684
30.601839,	12.536272,	5.940948
30.192450,	12.249219,	5.930211
29.783056,	11.962167,	5.919474
29.373667,	11.675114,	5.908737
28.964277,	11.388062,	5.898000
28.555676,	11.101614,	5.887263
28.148487,	10.816450,	5.876526
27.742575,	10.532761,	5.865789
27.337811,	10.250734,	5.855052
26.934063,	9.970557,	5.844316
26.490969,	9.664721,	5.832505
26.048790,	9.361594,	5.820694
25.607367,	9.061419,	5.808884
25.166546,	8.764438,	5.797073
24.726183,	8.470892,	5.785262
24.285645,	8.180685,	5.773386
23.843552,	7.893012,	5.761406
23.399847,	7.607835,	5.749322
22.954540,	7.325167,	5.737134
22.507645,	7.045008,	5.724841
22.059179,	6.767382,	5.712444
21.609156,	6.492287,	5.699944
21.157585,	6.219730,	5.687338
20.704491,	5.949719,	5.674629
20.249880,	5.682278,	5.661816
19.793764,	5.417397,	5.648898
19.336164,	5.155090,	5.635876
18.877094,	4.895374,	5.622750
18.416565,	4.638248,	5.609519
17.954594,	4.383720,	5.596185
17.491196,	4.131804,	5.582746
17.026386,	3.882499,	5.569203
16.560175,	3.635829,	5.555556
16.092585,	3.391785,	5.541805
15.623623,	3.150375,	5.527949
15.153307,	2.911622,	5.513989
14.681653,	2.675524,	5.499926
14.208677,	2.442081,	5.485757
13.734393,	2.211317,	5.471485
13.258813,	1.983223,	5.457108
12.781957,	1.757822,	5.442628
12.303834,	1.535114,	5.428043
